FCZ7.Residential.MULTIFAMILY.CoolingEff,FCZ7.Residential.MULTIFAMILY.Dryer,FCZ7.Residential.MULTIFAMILY.Heating,FCZ7.Residential.MULTIFAMILY.HeatPumpEff,FCZ7.Residential.MULTIFAMILY.Miscellaneous,FCZ7.Residential.MULTIFAMILY.Refrigerator,FCZ7.Residential.MULTIFAMILY.ResLightingEff,FCZ7.Residential.MULTIFAMILY.ResOccsensorEff,FCZ7.Residential.MULTIFAMILY.Washer,FCZ7.Residential.MULTIFAMILY.WaterHeating,FCZ7.Residential.SINGLEFAMILY.CoolingEff,FCZ7.Residential.SINGLEFAMILY.Dryer,FCZ7.Residential.SINGLEFAMILY.Heating,FCZ7.Residential.SINGLEFAMILY.HeatPumpEff,FCZ7.Residential.SINGLEFAMILY.Miscellaneous,FCZ7.Residential.SINGLEFAMILY.Refrigerator,FCZ7.Residential.SINGLEFAMILY.ResLightingEff,FCZ7.Residential.SINGLEFAMILY.ResOccsensorEff,FCZ7.Residential.SINGLEFAMILY.Washer,FCZ7.Residential.SINGLEFAMILY.WaterHeating
0,0.551640865,0.511393908,0.061533561,0.716966264,0.514756547,0.489379922,0.237190655,0.520326257,1,0,0.551640865,0.539867464,0.044322863,0.716966264,0.514756547,0.489379922,0.237190655,0.520326257,1
0,0.741715062,0.470766307,0.028709168,0.729823474,0.535022553,0.476369053,0.247236245,0.688903835,1,0,0.741715062,0.507324742,0.020911612,0.729823474,0.535022553,0.476369053,0.247236245,0.688903835,1
0,0.883992001,0.405454094,0.003426287,0.741683897,0.564553019,0.467778975,0.240047953,0.76060947,1,0,0.883992001,0.44563728,0.001926551,0.741683897,0.564553019,0.467778975,0.240047953,0.76060947,1
0,0.964194935,0.320082537,0,0.754541107,0.590198202,0.468090362,0.22055618,0.712979358,1,0,0.964194935,0.351908868,0,0.754541107,0.590198202,0.468090362,0.22055618,0.712979358,1
0,0.960651475,0.232159652,0,0.767344437,0.608692379,0.47514746,0.212022899,0.609071121,1,0,0.960651475,0.239027812,0,0.767344437,0.608692379,0.47514746,0.212022899,0.609071121,1
0,0.918637638,0.166499906,0,0.780464314,0.615461225,0.487993653,0.217263117,0.534019761,1,0,0.918637638,0.127366362,0,0.780464314,0.615461225,0.487993653,0.217263117,0.534019761,1
0,0.814899682,0.183019365,0,0.796244536,0.621900025,0.506977754,0.220693161,0.517205537,1,0,0.814899682,0.12743317,0,0.796244536,0.621900025,0.506977754,0.220693161,0.517205537,1
0,0.741718492,0.318763713,0,0.816685413,0.631969335,0.54258361,0.224661937,0.463769321,1,0,0.741718492,0.342687198,0,0.816685413,0.631969335,0.54258361,0.224661937,0.463769321,1
0,0.650614188,0.481205062,0.011666365,0.839732753,0.6334806,0.617401719,0.232072708,0.387507337,1,0,0.650614188,0.617027431,0.010425323,0.839732753,0.6334806,0.617401719,0.232072708,0.387507337,1
0,0.568888218,0.56429551,0.027183762,0.858732329,0.624082963,0.744146531,0.232118675,0.301780473,1,0,0.568888218,0.766225164,0.027130226,0.858732329,0.624082963,0.744146531,0.232118675,0.301780473,1
0,0.492232174,0.499293299,0.041348201,0.86700297,0.606353103,0.903082428,0.217304487,0.278059577,1,0,0.492232174,0.685073759,0.041457424,0.86700297,0.606353103,0.903082428,0.217304487,0.278059577,1
0,0.441357972,0.407734452,0.050274103,0.860746109,0.586318709,1,0.266330864,0.258349638,1,0,0.441357972,0.538664915,0.048285705,0.860746109,0.586318709,1,0.266330864,0.258349638,1
0,0.405587209,0.351347761,0.056066226,0.83864841,0.562815933,0.969017036,0.605074186,0.265146253,1,0,0.405587209,0.423741944,0.050419543,0.83864841,0.562815933,0.969017036,0.605074186,0.265146253,1
0,0.350373727,0.354048461,0.059674021,0.803875348,0.542549927,0.798236474,0.906893277,0.211308941,1,0,0.350373727,0.373891623,0.049505041,0.803875348,0.542549927,0.798236474,0.906893277,0.211308941,1
0,0.251438137,0.381374475,0.060054311,0.75694552,0.519967806,0.583754005,0.981741058,0.128888671,1,0,0.251438137,0.381063559,0.046456701,0.75694552,0.519967806,0.583754005,0.981741058,0.128888671,1
0,0.165338584,0.27063525,0.073369541,0.697387474,0.50896626,0.402426719,0.67655076,0.034239875,1,0,0.165338584,0.301856701,0.051943713,0.697387474,0.50896626,0.402426719,0.67655076,0.034239875,1
0,0.083355344,0.239154601,0.052952553,0.672157977,0.494490542,0.294648043,0.381933751,0.020177069,1,0,0.083355344,0.261198909,0.037616515,0.672157977,0.494490542,0.294648043,0.381933751,0.020177069,1
0,0.039448002,0.215718256,0.071301309,0.648585303,0.486963168,0.241833588,0.230777363,0.012155156,1,0,0.039448002,0.235784769,0.049322141,0.648585303,0.486963168,0.241833588,0.230777363,0.012155156,1
0,0.02311996,0.207685212,0.082989478,0.635788708,0.478277737,0.219313452,0.173404331,0.011861671,1,0,0.02311996,0.231022905,0.057247825,0.635788708,0.478277737,0.219313452,0.173404331,0.011861671,1
0,0.02089029,0.212253433,0.079805863,0.632421183,0.469592306,0.226048684,0.155621605,0.018147134,1,0,0.02089029,0.23908467,0.055601721,0.632421183,0.469592306,0.226048684,0.155621605,0.018147134,1
0,0.040820107,0.232317281,0.104691181,0.639156233,0.460906875,0.277235845,0.159140825,0.037908433,1,0,0.040820107,0.263982823,0.073088828,0.639156233,0.460906875,0.277235845,0.159140825,0.037908433,1
0,0.090215866,0.270697551,0.105831483,0.655993858,0.464960076,0.371412318,0.17839265,0.078751712,1,0,0.090215866,0.307718058,0.073822868,0.655993858,0.464960076,0.371412318,0.17839265,0.078751712,1
0,0.186263176,0.307301124,0.128072615,0.678024206,0.478277737,0.454648343,0.198306398,0.179514772,1,0,0.186263176,0.343827913,0.087693425,0.678024206,0.478277737,0.454648343,0.198306398,0.179514772,1
0,0.315584019,0.328461614,0.102855145,0.700552948,0.503175973,0.494767807,0.21660763,0.378609861,1,0,0.315584019,0.362080068,0.071148255,0.700552948,0.503175973,0.494767807,0.21660763,0.378609861,1
0,0.51136617,0.31838015,0.073003692,0.718885753,0.526337122,0.489379922,0.237190655,0.545054784,1,0,0.51136617,0.347792343,0.051699846,0.718885753,0.526337122,0.489379922,0.237190655,0.545054784,1
0,0.710345324,0.294979835,0.040326262,0.735251925,0.553551473,0.476369053,0.247236245,0.657897183,1,0,0.710345324,0.317236811,0.029264064,0.735251925,0.553551473,0.476369053,0.247236245,0.657897183,1
0,0.866405052,0.259350556,0.012600806,0.751274608,0.579526702,0.467778975,0.240047953,0.618286539,1,0,0.866405052,0.271839188,0.008901153,0.751274608,0.579526702,0.467778975,0.240047953,0.618286539,1
0,0.943325226,0.219562138,0.003652818,0.767937122,0.6036722,0.468090362,0.22055618,0.555285169,1,0,0.943325226,0.222436625,0.002152128,0.767937122,0.6036722,0.468090362,0.22055618,0.555285169,1
