Sector,PA,FCZ,BType_Des,End.Use,Scen,AAEE.Case,2021
Commercial,LADWP,FCZ17,Retail,Ventilation,Mid,Base,88.4572717
Commercial,LADWP,FCZ17,Retail,WaterHeating,Mid,Base,2.35088795
Commercial,LADWP,FCZ17,School,Cooking,Mid,Base,1.943876054
Commercial,LADWP,FCZ17,School,Cooling,Mid,Base,40.03278775
Commercial,LADWP,FCZ17,School,Heating,Mid,Base,3.008634523
Commercial,LADWP,FCZ17,School,IndoorLighting,Mid,Base,96.01195346
Commercial,LADWP,FCZ17,School,Miscellaneous,Mid,Base,40.34253497
Commercial,LADWP,FCZ17,School,OfficeEquipment,Mid,Base,2.806637141
Commercial,LADWP,FCZ17,School,OutdoorLighting,Mid,Base,40.64756683
Commercial,LADWP,FCZ17,School,Refrigeration,Mid,Base,2.952909311
Commercial,LADWP,FCZ17,School,Residual,Mid,Base,262.1703861
Commercial,LADWP,FCZ17,School,Ventilation,Mid,Base,32.9787013
Commercial,LADWP,FCZ17,School,WaterHeating,Mid,Base,1.444784796
Commercial,LADWP,FCZ17,Warehouse,Cooking,Mid,Base,0.023725884
Commercial,LADWP,FCZ17,Warehouse,Cooling,Mid,Base,12.12613795
Commercial,LADWP,FCZ17,Warehouse,Heating,Mid,Base,1.6578547
Commercial,LADWP,FCZ17,Warehouse,IndoorLighting,Mid,Base,190.1102258
Commercial,LADWP,FCZ17,Warehouse,Miscellaneous,Mid,Base,162.3882246
Commercial,LADWP,FCZ17,Warehouse,OfficeEquipment,Mid,Base,2.977832772
Commercial,LADWP,FCZ17,Warehouse,OutdoorLighting,Mid,Base,14.93586339
Commercial,LADWP,FCZ17,Warehouse,Refrigeration,Mid,Base,0
Commercial,LADWP,FCZ17,Warehouse,Residual,Mid,Base,398.7068913
Commercial,LADWP,FCZ17,Warehouse,Ventilation,Mid,Base,13.78737388
Commercial,LADWP,FCZ17,Warehouse,WaterHeating,Mid,Base,0.699652347
