,Unnamed: 0,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,resource,units
46,68,0,3.43e-05,6.86e-05,0.00010282399999999999,0.00013667,0.00017035099999999998,0.00020361200000000001,0.00023664200000000002,0.000269078,0.00030054,0.000330172,0.00035658699999999995,FCZ7.Commercial.Health Care.IndoorLightingEff,MW
47,69,0,7.97e-06,1.59e-05,2.3899999999999998e-05,3.17e-05,3.96e-05,4.73e-05,5.5e-05,6.25e-05,6.979999999999999e-05,7.670000000000001e-05,8.28e-05,FCZ7.Commercial.Hotel.IndoorLightingEff,MW
48,70,0,4.34e-05,8.669999999999999e-05,0.00012996200000000001,0.000172741,0.00021531099999999999,0.00025735,0.000299098,0.000340093,0.00037986,0.000417312,0.000450699,FCZ7.Commercial.Miscellaneous.IndoorLightingEff,MW
49,71,0,0.00016927,0.000338476,0.000507209,0.000674162,0.000840302,0.001004371,0.001167302,0.001327297,0.0014824970000000002,0.001628661,0.0017589620000000002,FCZ7.Commercial.Office.IndoorLightingEff,MW
50,72,0,8.2e-07,1.64e-06,2.46e-06,3.27e-06,4.07e-06,4.87e-06,5.66e-06,6.43e-06,7.18e-06,7.89e-06,8.52e-06,FCZ7.Commercial.Refrigerated Warehouse.IndoorLightingEff,MW
51,73,0,1.7e-05,3.39e-05,5.08e-05,6.759999999999999e-05,8.420000000000001e-05,0.00010065100000000001,0.00011697799999999999,0.000133012,0.000148565,0.000163212,0.00017627,FCZ7.Commercial.Restaurant.IndoorLightingEff,MW
52,74,0,5.550000000000001e-05,0.000110951,0.00016626099999999999,0.000220988,0.00027544799999999997,0.000329229,0.00038263699999999996,0.000435083,0.00048595699999999997,0.000533869,0.000576581,FCZ7.Commercial.Retail.IndoorLightingEff,MW
53,75,0,3.2e-05,6.39e-05,9.58e-05,0.000127288,0.000158657,0.00018963400000000002,0.000220397,0.000250606,0.000279909,0.000307506,0.000332108,FCZ7.Commercial.School.IndoorLightingEff,MW
54,76,0,3.79e-05,7.58e-05,0.000113576,0.00015096,0.00018816299999999998,0.000224902,0.000261386,0.000297213,0.000331965,0.000364695,0.00039387199999999997,FCZ7.Commercial.Warehouse.IndoorLightingEff,MW
55,77,0,8.21e-06,1.64e-05,2.46e-05,3.9500000000000005e-05,5.45e-05,6.95e-05,8.45e-05,9.92e-05,0.000113798,0.000127918,0.00014129,FCZ7.Commercial.College.OutdoorLighting,MW
56,78,0,3.2e-05,6.4e-05,9.590000000000001e-05,0.000154067,0.000212585,0.000271116,0.000329315,0.00038690800000000004,0.000443663,0.000498711,0.000550845,FCZ7.Commercial.Food.OutdoorLighting,MW
