,date,hour,moer (lbs CO2/MWh),version
606,2019-01-26,6,0,3
607,2019-01-26,7,0,3
608,2019-01-26,8,0,3
609,2019-01-26,9,0,3
610,2019-01-26,10,0,3
611,2019-01-26,11,0,3
612,2019-01-26,12,0,3
613,2019-01-26,13,0,3
614,2019-01-26,14,0,3
615,2019-01-26,15,0,3
616,2019-01-26,16,0,3
617,2019-01-26,17,0,3
618,2019-01-26,18,0,3
619,2019-01-26,19,0,3
620,2019-01-26,20,0,3
621,2019-01-26,21,0,3
622,2019-01-26,22,0,3
623,2019-01-26,23,0,3
624,2019-01-27,0,0,3
625,2019-01-27,1,0,3
626,2019-01-27,2,0,3
627,2019-01-27,3,0,3
628,2019-01-27,4,0,3
629,2019-01-27,5,0,3
630,2019-01-27,6,0,3
631,2019-01-27,7,0,3
632,2019-01-27,8,0,3
633,2019-01-27,9,0,3
634,2019-01-27,10,0,3
635,2019-01-27,11,0,3
636,2019-01-27,12,0,3
637,2019-01-27,13,0,3
638,2019-01-27,14,0,3
639,2019-01-27,15,0,3
640,2019-01-27,16,0,3
641,2019-01-27,17,0,3
642,2019-01-27,18,0,3
643,2019-01-27,19,0,3
644,2019-01-27,20,0,3
645,2019-01-27,21,0,3
646,2019-01-27,22,0,3
647,2019-01-27,23,0,3
648,2019-01-28,0,0,3
649,2019-01-28,1,0,3
650,2019-01-28,2,0,3
651,2019-01-28,3,0,3
652,2019-01-28,4,0,3
653,2019-01-28,5,0,3
654,2019-01-28,6,0,3
655,2019-01-28,7,0,3
656,2019-01-28,8,0,3
657,2019-01-28,9,0,3
658,2019-01-28,10,0,3
659,2019-01-28,11,0,3
660,2019-01-28,12,0,3
661,2019-01-28,13,0,3
662,2019-01-28,14,0,3
663,2019-01-28,15,0,3
664,2019-01-28,16,0,3
665,2019-01-28,17,0,3
666,2019-01-28,18,0,3
667,2019-01-28,19,0,3
668,2019-01-28,20,0,3
669,2019-01-28,21,0,3
670,2019-01-28,22,0,3
671,2019-01-28,23,0,3
672,2019-01-29,0,0,3
673,2019-01-29,1,0,3
674,2019-01-29,2,0,3
675,2019-01-29,3,0,3
676,2019-01-29,4,0,3
677,2019-01-29,5,0,3
678,2019-01-29,6,0,3
679,2019-01-29,7,0,3
680,2019-01-29,8,0,3
681,2019-01-29,9,0,3
682,2019-01-29,10,0,3
683,2019-01-29,11,0,3
684,2019-01-29,12,0,3
685,2019-01-29,13,0,3
686,2019-01-29,14,0,3
687,2019-01-29,15,0,3
688,2019-01-29,16,0,3
689,2019-01-29,17,0,3
690,2019-01-29,18,0,3
691,2019-01-29,19,0,3
692,2019-01-29,20,0,3
693,2019-01-29,21,0,3
694,2019-01-29,22,0,3
695,2019-01-29,23,0,3
696,2019-01-30,0,0,3
697,2019-01-30,1,0,3
698,2019-01-30,2,0,3
699,2019-01-30,3,0,3
700,2019-01-30,4,0,3
701,2019-01-30,5,0,3
702,2019-01-30,6,0,3
703,2019-01-30,7,0,3
704,2019-01-30,8,0,3
705,2019-01-30,9,0,3
706,2019-01-30,10,0,3
707,2019-01-30,11,0,3
708,2019-01-30,12,0,3
709,2019-01-30,13,0,3
710,2019-01-30,14,0,3
711,2019-01-30,15,0,3
712,2019-01-30,16,0,3
713,2019-01-30,17,0,3
714,2019-01-30,18,0,3
715,2019-01-30,19,0,3
716,2019-01-30,20,0,3
717,2019-01-30,21,0,3
718,2019-01-30,22,0,3
719,2019-01-30,23,0,3
720,2019-01-31,0,0,3
721,2019-01-31,1,0,3
722,2019-01-31,2,0,3
723,2019-01-31,3,0,3
724,2019-01-31,4,0,3
725,2019-01-31,5,0,3
726,2019-01-31,6,0,3
727,2019-01-31,7,0,3
728,2019-01-31,8,0,3
729,2019-01-31,9,0,3
730,2019-01-31,10,0,3
731,2019-01-31,11,0,3
732,2019-01-31,12,0,3
733,2019-01-31,13,0,3
734,2019-01-31,14,0,3
735,2019-01-31,15,0,3
736,2019-01-31,16,0,3
737,2019-01-31,17,0,3
738,2019-01-31,18,0,3
739,2019-01-31,19,0,3
740,2019-01-31,20,0,3
741,2019-01-31,21,0,3
742,2019-01-31,22,0,3
743,2019-01-31,23,0,3
744,2019-02-01,0,0,3
745,2019-02-01,1,0,3
746,2019-02-01,2,0,3
747,2019-02-01,3,0,3
748,2019-02-01,4,0,3
749,2019-02-01,5,0,3
750,2019-02-01,6,0,3
751,2019-02-01,7,0,3
752,2019-02-01,8,0,3
753,2019-02-01,9,0,3
754,2019-02-01,10,0,3
755,2019-02-01,11,0,3
756,2019-02-01,12,0,3
757,2019-02-01,13,0,3
758,2019-02-01,14,0,3
759,2019-02-01,15,0,3
760,2019-02-01,16,0,3
761,2019-02-01,17,0,3
762,2019-02-01,18,0,3
763,2019-02-01,19,0,3
764,2019-02-01,20,0,3
765,2019-02-01,21,0,3
766,2019-02-01,22,0,3
767,2019-02-01,23,0,3
768,2019-02-02,0,0,3
