DEMAND,SOLAR,WIND,COAL,COAL_CRYO,COAL_AMINE,NUCLEAR
36219,0,32049.93,57747,57747,57747,115494
36758,0,31605.77,57747,57747,57747,115494
36086,0,31232.93,57747,57747,57747,115494
35107,0,30383.39,57747,57747,57747,115494
33296,0,29127.48,57747,57747,57747,115494
30869,0,28300.62,57747,57747,57747,115494
28809,0,27880.05,57747,57747,57747,115494
27271,0,27810.35,57747,57747,57747,115494
26354,0,27154.62,57747,57747,57747,115494
25862,0,25961.92,57747,57747,57747,115494
26025,0,25816.15,57747,57747,57747,115494
26987,0,25206.77,57747,57747,57747,115494
29205,1454.51,24027.91,57747,57747,57747,115494
32262,5946.33,22316.69,57747,57747,57747,115494
33552,7996.12,20635.1,57747,57747,57747,115494
33566,8903.83,20175.3,57747,57747,57747,115494
33216,9212.24,19560.28,57747,57747,57747,115494
32852,9123.94,18460.78,57747,57747,57747,115494
32291,8739.09,17450.18,57747,57747,57747,115494
31481,7786.93,16384.76,57747,57747,57747,115494
30956,5565.96,15107.03,57747,57747,57747,115494
31139,1202.38,14761.76,57747,57747,57747,115494
31731,3.65,14559.04,57747,57747,57747,115494
33013,0,13811.74,57747,57747,57747,115494
35488,0,12745.09,57747,57747,57747,115494
35661,0,12128.38,57747,57747,57747,115494
35030,0,11953.78,57747,57747,57747,115494
34146,0,12017.74,57747,57747,57747,115494
32749,0,11386.27,57747,57747,57747,115494
30623,0,10920.74,57747,57747,57747,115494
28472,0,10509.9,57747,57747,57747,115494
26856,0,10229.84,57747,57747,57747,115494
25838,0,10726.87,57747,57747,57747,115494
25271,0,10985.79,57747,57747,57747,115494
25280,0,10966.43,57747,57747,57747,115494
25607,0,10380.03,57747,57747,57747,115494
26477,1325.77,9955.88,57747,57747,57747,115494
27741,5717.32,9358.9,57747,57747,57747,115494
28572,8007.81,8171.89,57747,57747,57747,115494
29471,9402,8095.07,57747,57747,57747,115494
29443,9726.6,7736.09,57747,57747,57747,115494
