,date,hour,co2_short_tons_per_mwh,so2_cost_per_mwh_LOW_3pct,so2_cost_per_mwh_HIGH_3pct,nox_cost_per_mwh_LOW_3pct,nox_cost_per_mwh_HIGH_3pct,so2_cost_per_mwh_LOW_6pct,so2_cost_per_mwh_HIGH_6pct,nox_cost_per_mwh_LOW_6pct,nox_cost_per_mwh_HIGH_6pct
2002,2019-03-25,10,0.5851990106372822,0.911137316937749,2.0485919407487803,0.911137316937749,2.0485919407487803,0.8301490901480778,1.8649741049608826,0.8301490901480778,1.8649741049608826
2003,2019-03-25,11,0.5769999231537692,0.92276460693153,2.0744997920540995,0.92276460693153,2.0744997920540995,0.8411553110735418,1.8894779873203718,0.8411553110735418,1.8894779873203718
2004,2019-03-25,12,0.5687760900778357,0.8956548556638706,2.0135599319126425,0.8956548556638706,2.0135599319126425,0.8164169629335751,1.8339146392730297,0.8164169629335751,1.8339146392730297
2005,2019-03-25,13,0.5620829943043124,0.8893091377320808,1.999244878615282,0.8893091377320808,1.999244878615282,0.8107169383090465,1.8210643750277387,0.8107169383090465,1.8210643750277387
2006,2019-03-25,14,0.5549690686161275,0.8761484972619679,1.9695299988314108,0.8761484972619679,1.9695299988314108,0.7987535765086353,1.794069614161673,0.7987535765086353,1.794069614161673
2007,2019-03-25,15,0.5524895571221605,0.881408790183533,1.9815384398740246,0.881408790183533,1.9815384398740246,0.8034918095026837,1.8048865069145503,0.8034918095026837,1.8048865069145503
2008,2019-03-25,16,0.5616349693251533,0.8678375522169547,1.9508830101784718,0.8678375522169547,1.9508830101784718,0.7898403157417735,1.7740792006413832,0.7898403157417735,1.7740792006413832
2009,2019-03-25,17,0.5449637324575475,0.8836065504700643,1.9854477388954441,0.8836065504700643,1.9854477388954441,0.8037486581852091,1.8044773907052867,0.8037486581852091,1.8044773907052867
2010,2019-03-25,18,0.5953722875109531,1.1977703391342587,2.6941449995921603,1.1977703391342587,2.6941449995921603,1.0922248414730555,2.4547804229878616,1.0922248414730555,2.4547804229878616
2011,2019-03-25,19,0.6210866002021901,1.3405681437601868,3.0162832824197716,1.3405681437601868,3.0162832824197716,1.2235850858104684,2.750912019606944,1.2235850858104684,2.750912019606944
2012,2019-03-25,20,0.599316659300196,1.1759702915880281,2.6458890525336893,1.1759702915880281,2.6458890525336893,1.0723668836369178,2.410890246530231,1.0723668836369178,2.410890246530231
2013,2019-03-25,21,0.5850707743292334,0.9615580751118475,2.1633481332305142,0.9615580751118475,2.1633481332305142,0.8747735966286406,1.9665442306698109,0.8747735966286406,1.9665442306698109
2014,2019-03-25,22,0.5808710019819665,0.8605358459904068,1.9359496487691858,0.8605358459904068,1.9359496487691858,0.7809131692156501,1.755428573050014,0.7809131692156501,1.755428573050014
2015,2019-03-25,23,0.564659467604219,0.7575774893967298,1.7040655194486298,0.7575774893967298,1.7040655194486298,0.6860604292929292,1.5419597520508956,0.6860604292929292,1.5419597520508956
2016,2019-03-26,0,0.5521024283736148,0.7716983904158395,1.735546504910386,0.7716983904158395,1.735546504910386,0.6994814054321596,1.5718570654696415,0.6994814054321596,1.5718570654696415
2017,2019-03-26,1,0.550183479270536,0.7483085237425401,1.6821739605907127,0.7483085237425401,1.6821739605907127,0.6800885043645905,1.5275505288895315,0.6800885043645905,1.5275505288895315
2018,2019-03-26,2,0.5508621982306193,0.7384203213716108,1.6597473947368422,0.7384203213716108,1.6597473947368422,0.6710550075757576,1.5070717324561405,0.6710550075757576,1.5070717324561405
2019,2019-03-26,3,0.5482271117312439,0.8456596083503274,1.9010328706665236,0.8456596083503274,1.9010328706665236,0.7695794996243425,1.7285758644413436,0.7695794996243425,1.7285758644413436
2020,2019-03-26,4,0.559925717727364,0.8337347296526803,1.8741102184701866,0.8337347296526803,1.8741102184701866,0.7591240893796427,1.7049829078096768,0.7591240893796427,1.7049829078096768
2021,2019-03-26,5,0.5537179628670634,0.9399483737998015,2.113750185318737,0.9399483737998015,2.113750185318737,0.8572086857909638,1.9261282153428045,0.8572086857909638,1.9261282153428045
2022,2019-03-26,6,0.5657620203028036,1.0660177361559386,2.397995562622147,1.0660177361559386,2.397995562622147,0.9729185857720802,2.18683232658085,0.9729185857720802,2.18683232658085
2023,2019-03-26,7,0.5931031720078482,1.1370256196043165,2.5583928645083933,1.1370256196043165,2.5583928645083933,1.0374961993405276,2.3326164010791364,1.0374961993405276,2.3326164010791364
