,diesel_genset_replacement_storage_4hr_CHARGE,diesel_genset_replacement_storage_4hr_DISCHARGE,diesel_genset_replacement_storage_4hr_STATE_OF_CHARGE
220,-0.0,1.9771416066725658,64.59789577000663
221,-0.0,0.0,64.59789577000664
222,-0.0,0.0,64.59789577000664
223,-0.0,0.0,64.59789577000664
224,-0.0,0.0,64.59789577000664
225,-0.0,0.0,64.59789577000664
226,-0.0,0.0,64.59789577000664
227,-0.0,0.0,64.59789577000664
228,-0.0,0.0,64.59789577000664
229,-0.0,0.0,64.59789577000664
230,-0.0,0.0,64.59789577000664
231,-0.0,0.0,64.59789577000664
232,-0.0,0.0,64.59789577000664
233,-0.0,0.0,64.59789577000664
234,-0.0,0.0,64.59789577000664
235,-0.0,0.0,64.59789577000664
236,-0.0,0.0,64.59789577000664
237,-0.0,0.0,64.59789577000664
238,-0.0,0.0,64.59789577000664
239,-0.0,0.0,64.59789577000664
240,-0.0,0.0,64.59789577000664
241,-0.0,0.0,64.59789577000664
242,-0.0,0.0,64.59789577000664
243,-0.0,0.0,64.59789577000664
244,-0.0,0.0,64.59789577000664
245,-0.0,0.0,64.59789577000664
246,-0.0,0.0,64.59789577000664
247,-0.0,0.0,64.59789577000664
248,-0.0,0.0,64.59789577000664
249,-0.0,0.0,64.59789577000664
250,-0.0,0.0,64.59789577000664
251,-0.0,0.0,64.59789577000664
252,-0.0,0.0,64.59789577000664
253,-0.0,0.0,64.59789577000664
254,-0.0,0.0,64.59789577000664
255,-0.0,0.0,64.59789577000664
256,-0.0,0.0,64.59789577000664
257,-0.0,0.0,64.59789577000663
258,-0.0,8.977025308821995,54.0366895243337
259,-0.0,1.977133704552036,51.71064987191954
260,-0.0,0.0,51.71064987191954
261,-0.0,0.0,51.71064987191954
262,-0.0,0.0,51.71064987191954
263,-0.0,0.0,51.71064987191955
264,-0.0,38.976933394984236,5.855434113114545
265,-0.0,4.977118996147359,0.0
266,-0.0,0.0,0.0
267,-0.0,0.0,0.0
