,resource,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,Units
56,FCZ7.Commercial.Office.WaterHeating,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MW
57,FCZ7.Commercial.Refrigerated Warehouse.Cooling,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MW
58,FCZ7.Commercial.Refrigerated Warehouse.Heating,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MW
59,FCZ7.Commercial.Refrigerated Warehouse.IndoorLightingEff,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MW
60,FCZ7.Commercial.Refrigerated Warehouse.OfficeEquipment,0.0,0.0,1.57e-05,9.800000000000001e-06,9.499999999999997e-06,0.0,1.6000000000000006e-05,1.9000000000000055e-06,1.299999999999991e-06,3.000000000000073e-07,MW
61,FCZ7.Commercial.Refrigerated Warehouse.OutdoorLighting,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MW
62,FCZ7.Commercial.Refrigerated Warehouse.Refrigeration,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MW
63,FCZ7.Commercial.Refrigerated Warehouse.Ventilation,1.87e-05,1.6900000000000004e-05,1.53e-05,5.1151999999999994e-05,4.918800000000001e-05,4.6799000000000004e-05,5.7017999999999995e-05,5.459299999999996e-05,5.318900000000004e-05,5.140299999999996e-05,MW
64,FCZ7.Commercial.Refrigerated Warehouse.WaterHeating,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MW
65,FCZ7.Commercial.Restaurant.Cooling,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MW
66,FCZ7.Commercial.Restaurant.Heating,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MW
67,FCZ7.Commercial.Restaurant.IndoorLightingEff,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MW
68,FCZ7.Commercial.Restaurant.OfficeEquipment,5.11e-06,0.0,0.000193682,0.00012335799999999998,0.00011993800000000004,0.0,0.00020209499999999995,2.4824000000000005e-05,1.5766999999999973e-05,4.153000000000013e-06,MW
69,FCZ7.Commercial.Restaurant.OutdoorLighting,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MW
70,FCZ7.Commercial.Restaurant.Refrigeration,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MW
71,FCZ7.Commercial.Restaurant.Ventilation,0.00445186,0.0040238389999999995,0.003630306,0.012170373999999998,0.011700902,0.011132742000000001,0.013563644,0.01298674200000001,0.012652655999999984,0.012228052000000003,MW
72,FCZ7.Commercial.Restaurant.WaterHeating,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MW
73,FCZ7.Commercial.Retail.Cooling,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MW
74,FCZ7.Commercial.Retail.Heating,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MW
75,FCZ7.Commercial.Retail.IndoorLightingEff,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MW
76,FCZ7.Commercial.Retail.OfficeEquipment,0.000128617,0.0,0.004877904,0.003106724000000001,0.003020598999999999,0.0,0.0050896879999999985,0.0006252040000000007,0.0003970750000000002,0.00010460299999999825,MW
77,FCZ7.Commercial.Retail.OutdoorLighting,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MW
78,FCZ7.Commercial.Retail.Refrigeration,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MW
79,FCZ7.Commercial.Retail.Ventilation,0.004928544,0.004454694,0.004019020999999999,0.013473521,0.01295378,0.012324784000000004,0.01501597399999999,0.01437730300000002,0.01400744200000001,0.013537374999999989,MW
80,FCZ7.Commercial.Retail.WaterHeating,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MW
81,FCZ7.Commercial.School.Cooking,0.0,0.0,0.0,0.0,0.0,0.0,0.003040442,0.0,0.0,7.352200000000034e-05,MW
82,FCZ7.Commercial.School.Cooling,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MW
83,FCZ7.Commercial.School.Heating,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MW
84,FCZ7.Commercial.School.IndoorLightingEff,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MW
85,FCZ7.Commercial.School.OfficeEquipment,0.0,0.0,0.002453943,0.001522758,0.0014805440000000003,0.0,0.0024947069999999997,0.000306443,0.00019462599999999983,5.12710000000003e-05,MW
86,FCZ7.Commercial.School.OutdoorLighting,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MW
87,FCZ7.Commercial.School.Refrigeration,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MW
88,FCZ7.Commercial.School.Ventilation,0.005179225,0.004681274,0.004223442,0.014158827999999998,0.013612650999999996,0.012951662000000003,0.015779736000000003,0.015108579000000004,0.014719906000000019,0.014225930000000005,MW
89,FCZ7.Commercial.School.WaterHeating,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MW
90,FCZ7.Commercial.Warehouse.Cooking,0.0,0.0,0.0,0.0,0.0,0.0,2.1899999999999997e-05,0.0,0.0,6.000000000000044e-07,MW
91,FCZ7.Commercial.Warehouse.Cooling,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MW
92,FCZ7.Commercial.Warehouse.Heating,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MW
93,FCZ7.Commercial.Warehouse.IndoorLightingEff,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MW
94,FCZ7.Commercial.Warehouse.OfficeEquipment,0.0,0.0,0.001510825,0.0009375200000000003,0.0009115299999999998,0.0,0.0015359220000000003,0.00018866899999999982,0.00011982599999999996,3.1565999999999365e-05,MW
95,FCZ7.Commercial.Warehouse.OutdoorLighting,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MW
96,FCZ7.Commercial.Warehouse.Refrigeration,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MW
97,FCZ7.Commercial.Warehouse.Ventilation,0.0011482460000000001,0.0010378479999999999,0.0009363469999999999,0.003139043,0.003017955,0.0028714120000000003,0.0034984020000000003,0.003349605999999999,0.0032634349999999986,0.00315392,MW
98,FCZ7.Commercial.Warehouse.WaterHeating,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MW
