"BA Code","Timestamp (Hour Ending)","Demand (MWh)","Demand Forecast (MWh)","Net Generation (MWh)","Total Interchange (MWh)"
LDWP,"2/8/2019 9 a.m. PST",3334,3242,3273,-61
LDWP,"2/8/2019 10 a.m. PST",3317,3236,3233,-84
LDWP,"2/8/2019 11 a.m. PST",3522,3142,3374,-148
LDWP,"2/8/2019 12 p.m. PST",3450,3104,3351,-98
LDWP,"2/8/2019 1 p.m. PST",3364,3048,3305,-58
LDWP,"2/8/2019 2 p.m. PST",3519,3018,3341,-178
LDWP,"2/8/2019 3 p.m. PST",3468,3016,3312,-156
LDWP,"2/8/2019 4 p.m. PST",3248,3067,3109,-139
LDWP,"2/8/2019 5 p.m. PST",3152,3185,3034,-117
LDWP,"2/8/2019 6 p.m. PST",3332,3473,3169,-163
LDWP,"2/8/2019 7 p.m. PST",3469,3529,3215,-254
LDWP,"2/8/2019 8 p.m. PST",3446,3514,3183,-263
LDWP,"2/8/2019 9 p.m. PST",3406,3505,3160,-246
LDWP,"2/8/2019 10 p.m. PST",3289,3436,3064,-225
LDWP,"2/8/2019 11 p.m. PST",3150,3267,2895,-256
LDWP,"2/9/2019 12 a.m. PST",2962,3054,2663,-299
LDWP,"2/9/2019 1 a.m. PST",2792,2543,2514,-278
LDWP,"2/9/2019 2 a.m. PST",2671,2507,2509,-162
LDWP,"2/9/2019 3 a.m. PST",2581,2442,2468,-113
LDWP,"2/9/2019 4 a.m. PST",2521,2402,2378,-143
LDWP,"2/9/2019 5 a.m. PST",2527,2398,2427,-100
LDWP,"2/9/2019 6 a.m. PST",2587,2445,2476,-111
LDWP,"2/9/2019 7 a.m. PST",2699,2542,2503,-197
LDWP,"2/9/2019 8 a.m. PST",2809,2654,2579,-230
LDWP,"2/9/2019 9 a.m. PST",2871,2787,2749,-122
LDWP,"2/9/2019 10 a.m. PST",2889,2930,2700,-189
LDWP,"2/9/2019 11 a.m. PST",2917,3022,2742,-175
LDWP,"2/9/2019 12 p.m. PST",2899,3059,2770,-128
LDWP,"2/9/2019 1 p.m. PST",2845,3037,2756,-89
LDWP,"2/9/2019 2 p.m. PST",2748,2974,2634,-115
LDWP,"2/9/2019 3 p.m. PST",2702,2905,2576,-125
LDWP,"2/9/2019 4 p.m. PST",2711,2889,2380,-331
LDWP,"2/9/2019 5 p.m. PST",2787,2963,2424,-363
LDWP,"2/9/2019 6 p.m. PST",3018,3191,2799,-219
LDWP,"2/9/2019 7 p.m. PST",3223,3185,2874,-349
LDWP,"2/9/2019 8 p.m. PST",3229,3151,2802,-427
LDWP,"2/9/2019 9 p.m. PST",3193,3082,2794,-399
LDWP,"2/9/2019 10 p.m. PST",3118,2985,2753,-364
LDWP,"2/9/2019 11 p.m. PST",2981,2863,2728,-254
LDWP,"2/10/2019 12 a.m. PST",2813,2728,2615,-197
LDWP,"2/10/2019 1 a.m. PST",2655,2436,2564,-92
LDWP,"2/10/2019 2 a.m. PST",2539,2403,2479,-60
LDWP,"2/10/2019 3 a.m. PST",2471,2332,2391,-80
LDWP,"2/10/2019 4 a.m. PST",2425,2289,2395,-30
LDWP,"2/10/2019 5 a.m. PST",2433,2285,2321,-112
LDWP,"2/10/2019 6 a.m. PST",2457,2319,2289,-167
LDWP,"2/10/2019 7 a.m. PST",2506,2355,2366,-139
LDWP,"2/10/2019 8 a.m. PST",2535,2414,2419,-116
LDWP,"2/10/2019 9 a.m. PST",2595,2522,2502,-93
LDWP,"2/10/2019 10 a.m. PST",2672,2633,2562,-110
LDWP,"2/10/2019 11 a.m. PST",2837,2682,2798,-39
LDWP,"2/10/2019 12 p.m. PST",2870,2686,2783,-87
LDWP,"2/10/2019 1 p.m. PST",2882,2685,2843,-40
LDWP,"2/10/2019 2 p.m. PST",2919,2681,2816,-103
LDWP,"2/10/2019 3 p.m. PST",2916,2680,2725,-191
LDWP,"2/10/2019 4 p.m. PST",2909,2674,2844,-65
LDWP,"2/10/2019 5 p.m. PST",2953,2757,2813,-139
LDWP,"2/10/2019 6 p.m. PST",3142,2945,2818,-325
LDWP,"2/10/2019 7 p.m. PST",3373,3051,3016,-357
LDWP,"2/10/2019 8 p.m. PST",3396,3068,3033,-363
LDWP,"2/10/2019 9 p.m. PST",3360,3043,3108,-252
LDWP,"2/10/2019 10 p.m. PST",3299,2929,3185,-114
LDWP,"2/10/2019 11 p.m. PST",3105,2733,2994,-111
LDWP,"2/11/2019 12 a.m. PST",2891,2529,2773,-118
LDWP,"2/11/2019 1 a.m. PST",2741,2347,2550,-192
LDWP,"2/11/2019 2 a.m. PST",2642,2341,2463,-179
LDWP,"2/11/2019 3 a.m. PST",2592,2285,2448,-144
LDWP,"2/11/2019 4 a.m. PST",2566,2302,2423,-143
LDWP,"2/11/2019 5 a.m. PST",2638,2367,2481,-157
LDWP,"2/11/2019 6 a.m. PST",2828,2534,2518,-309
LDWP,"2/11/2019 7 a.m. PST",3123,2769,2617,-505
LDWP,"2/11/2019 8 a.m. PST",3307,2953,2851,-456
LDWP,"2/11/2019 9 a.m. PST",3392,3074,3053,-339
LDWP,"2/11/2019 10 a.m. PST",3414,3170,3092,-322
LDWP,"2/11/2019 11 a.m. PST",3337,3232,3006,-331
LDWP,"2/11/2019 12 p.m. PST",3256,3219,2847,-408
LDWP,"2/11/2019 1 p.m. PST",3190,3152,2846,-343
LDWP,"2/11/2019 2 p.m. PST",3146,3078,2739,-407
LDWP,"2/11/2019 3 p.m. PST",3117,3037,2767,-351
LDWP,"2/11/2019 4 p.m. PST",3124,3055,2648,-477
LDWP,"2/11/2019 5 p.m. PST",3207,3131,2702,-504
LDWP,"2/11/2019 6 p.m. PST",3417,3308,2841,-576
LDWP,"2/11/2019 7 p.m. PST",3590,3434,3019,-571
LDWP,"2/11/2019 8 p.m. PST",3603,3406,3020,-583
LDWP,"2/11/2019 9 p.m. PST",3589,3325,3028,-561
LDWP,"2/11/2019 10 p.m. PST",3475,3186,2958,-517
LDWP,"2/11/2019 11 p.m. PST",3242,2984,2889,-353
LDWP,"2/12/2019 12 a.m. PST",3003,2767,2812,-191
LDWP,"2/12/2019 1 a.m. PST",2820,2352,2539,-281
LDWP,"2/12/2019 2 a.m. PST",2699,2347,2491,-208
LDWP,"2/12/2019 3 a.m. PST",2632,2315,2430,-202
LDWP,"2/12/2019 4 a.m. PST",2615,2310,2416,-199
LDWP,"2/12/2019 5 a.m. PST",2667,2376,2485,-183
LDWP,"2/12/2019 6 a.m. PST",2855,2540,2567,-288
LDWP,"2/12/2019 7 a.m. PST",3157,2772,2831,-326
LDWP,"2/12/2019 8 a.m. PST",3312,2955,2937,-375
LDWP,"2/12/2019 9 a.m. PST",3369,3074,3192,-177
LDWP,"2/12/2019 10 a.m. PST",3345,3170,3111,-234
LDWP,"2/12/2019 11 a.m. PST",3298,3232,3037,-262
LDWP,"2/12/2019 12 p.m. PST",3246,3219,2971,-275
LDWP,"2/12/2019 1 p.m. PST",3195,3151,2881,-314
LDWP,"2/12/2019 2 p.m. PST",3238,3077,2936,-302
LDWP,"2/12/2019 3 p.m. PST",3264,3037,2949,-315
LDWP,"2/12/2019 4 p.m. PST",3239,3052,2908,-332
LDWP,"2/12/2019 5 p.m. PST",3271,3128,2928,-343
LDWP,"2/12/2019 6 p.m. PST",3452,3303,2931,-521
LDWP,"2/12/2019 7 p.m. PST",3539,3430,3124,-415
LDWP,"2/12/2019 8 p.m. PST",3511,3402,3307,-203
LDWP,"2/12/2019 9 p.m. PST",3467,3322,3114,-353
LDWP,"2/12/2019 10 p.m. PST",3343,3183,2950,-393
LDWP,"2/12/2019 11 p.m. PST",3120,2982,2794,-325
LDWP,"2/13/2019 12 a.m. PST",2887,2765,2572,-315
LDWP,"2/13/2019 1 a.m. PST",2699,2445,2485,-214
LDWP,"2/13/2019 2 a.m. PST",2564,2439,2341,-223
LDWP,"2/13/2019 3 a.m. PST",2495,2388,2341,-154
LDWP,"2/13/2019 4 a.m. PST",2467,2406,2312,-155
LDWP,"2/13/2019 5 a.m. PST",2522,2468,2296,-226
LDWP,"2/13/2019 6 a.m. PST",2693,2625,2425,-268
LDWP,"2/13/2019 7 a.m. PST",2979,2846,2580,-399
LDWP,"2/13/2019 8 a.m. PST",3171,3022,2785,-386
LDWP,"2/13/2019 9 a.m. PST",3297,3135,2941,-356
LDWP,"2/13/2019 10 a.m. PST",3398,3226,3018,-380
LDWP,"2/13/2019 11 a.m. PST",3450,3285,3070,-379
LDWP,"2/13/2019 12 p.m. PST",3448,3272,3127,-321
LDWP,"2/13/2019 1 p.m. PST",3427,3207,3085,-342
LDWP,"2/13/2019 2 p.m. PST",3414,3135,3099,-315
LDWP,"2/13/2019 3 p.m. PST",3444,3096,3154,-290
LDWP,"2/13/2019 4 p.m. PST",3454,3112,3046,-408
LDWP,"2/13/2019 5 p.m. PST",3521,3189,3048,-472
LDWP,"2/13/2019 6 p.m. PST",3656,3361,3136,-520
LDWP,"2/13/2019 7 p.m. PST",3703,3486,3166,-537
LDWP,"2/13/2019 8 p.m. PST",3669,3464,3165,-504
LDWP,"2/13/2019 9 p.m. PST",3603,3387,3174,-429
LDWP,"2/13/2019 10 p.m. PST",3451,3254,3103,-348
LDWP,"2/13/2019 11 p.m. PST",3198,3062,2927,-271
LDWP,"2/14/2019 12 a.m. PST",2944,2853,2731,-213
LDWP,"2/14/2019 1 a.m. PST",2770,2629,2602,-168
LDWP,"2/14/2019 2 a.m. PST",2650,2600,2452,-198
LDWP,"2/14/2019 3 a.m. PST",2563,2521,2359,-204
LDWP,"2/14/2019 4 a.m. PST",2544,2526,2352,-192
LDWP,"2/14/2019 5 a.m. PST",2602,2590,2407,-195
LDWP,"2/14/2019 6 a.m. PST",2725,2760,2527,-198
LDWP,"2/14/2019 7 a.m. PST",2998,2975,2744,-254
LDWP,"2/14/2019 8 a.m. PST",3208,3102,2900,-308
LDWP,"2/14/2019 9 a.m. PST",3380,3142,2979,-401
LDWP,"2/14/2019 10 a.m. PST",3530,3165,3101,-429
LDWP,"2/14/2019 11 a.m. PST",3599,3167,3101,-497
LDWP,"2/14/2019 12 p.m. PST",3605,3145,3045,-560
LDWP,"2/14/2019 1 p.m. PST",3489,3117,2988,-501
LDWP,"2/14/2019 2 p.m. PST",3368,3103,3062,-306
LDWP,"2/14/2019 3 p.m. PST",3289,3124,3018,-271
LDWP,"2/14/2019 4 p.m. PST",3224,3167,3097,-127
LDWP,"2/14/2019 5 p.m. PST",3283,3253,3026,-257
LDWP,"2/14/2019 6 p.m. PST",3432,3455,3069,-363
LDWP,"2/14/2019 7 p.m. PST",3504,3431,3080,-424
LDWP,"2/14/2019 8 p.m. PST",3470,3377,2991,-479
LDWP,"2/14/2019 9 p.m. PST",3400,3288,2911,-489
LDWP,"2/14/2019 10 p.m. PST",3280,3158,2917,-363
LDWP,"2/14/2019 11 p.m. PST",3069,3015,2889,-180
LDWP,"2/15/2019 12 a.m. PST",2866,2852,2733,-133
LDWP,"2/15/2019 1 a.m. PST",2690,2613,2528,-162
LDWP,"2/15/2019 2 a.m. PST",2553,2586,2370,-183
LDWP,"2/15/2019 3 a.m. PST",2481,2517,2316,-165
LDWP,"2/15/2019 4 a.m. PST",2451,2535,2297,-154
LDWP,"2/15/2019 5 a.m. PST",2505,2611,2366,-138
LDWP,"2/15/2019 6 a.m. PST",2675,2784,2502,-173
LDWP,"2/15/2019 7 a.m. PST",2961,3022,2626,-335
LDWP,"2/15/2019 8 a.m. PST",3122,3186,2684,-439
LDWP,"2/15/2019 9 a.m. PST",3165,3244,2845,-320
LDWP,"2/15/2019 10 a.m. PST",3185,3236,3026,-159
LDWP,"2/15/2019 11 a.m. PST",3203,3164,2961,-242
LDWP,"2/15/2019 12 p.m. PST",3219,3086,2844,-375
LDWP,"2/15/2019 1 p.m. PST",3211,3038,2915,-296
LDWP,"2/15/2019 2 p.m. PST",3209,3012,2805,-404
LDWP,"2/15/2019 3 p.m. PST",3215,3007,2882,-333
LDWP,"2/15/2019 4 p.m. PST",3228,3019,2858,-369
LDWP,"2/15/2019 5 p.m. PST",3321,3090,2979,-343
LDWP,"2/15/2019 6 p.m. PST",3470,3282,2901,-569
LDWP,"2/15/2019 7 p.m. PST",3521,3428,2807,-714
LDWP,"2/15/2019 8 p.m. PST",3467,3457,2804,-663
LDWP,"2/15/2019 9 p.m. PST",3398,3425,2762,-636
LDWP,"2/15/2019 10 p.m. PST",3276,3303,2702,-574
LDWP,"2/15/2019 11 p.m. PST",3095,3096,2675,-420
LDWP,"2/16/2019 12 a.m. PST",2888,2880,2615,-273
LDWP,"2/16/2019 1 a.m. PST",2737,2610,2554,-183
LDWP,"2/16/2019 2 a.m. PST",2616,2572,2538,-78
LDWP,"2/16/2019 3 a.m. PST",2546,2488,2399,-147
LDWP,"2/16/2019 4 a.m. PST",2506,2439,2339,-167
LDWP,"2/16/2019 5 a.m. PST",2513,2445,2337,-176
LDWP,"2/16/2019 6 a.m. PST",2574,2508,2367,-207
LDWP,"2/16/2019 7 a.m. PST",2676,2602,2457,-219
LDWP,"2/16/2019 8 a.m. PST",2749,2699,2566,-183
LDWP,"2/16/2019 9 a.m. PST",2786,2762,2453,-333
LDWP,"2/16/2019 10 a.m. PST",2785,2781,2234,-551
LDWP,"2/16/2019 11 a.m. PST",2757,2789,2185,-572
LDWP,"2/16/2019 12 p.m. PST",2705,2770,2050,-655
LDWP,"2/16/2019 1 p.m. PST",2658,2696,1913,-746
LDWP,"2/16/2019 2 p.m. PST",2617,2603,1890,-727
LDWP,"2/16/2019 3 p.m. PST",2593,2578,1870,-723
LDWP,"2/16/2019 4 p.m. PST",2628,2590,1888,-741
LDWP,"2/16/2019 5 p.m. PST",2757,2678,2300,-457
LDWP,"2/16/2019 6 p.m. PST",2973,2921,2555,-418
LDWP,"2/16/2019 7 p.m. PST",3187,3115,2745,-442
LDWP,"2/16/2019 8 p.m. PST",3192,3110,2762,-430
LDWP,"2/16/2019 9 p.m. PST",3168,3071,2858,-310
LDWP,"2/16/2019 10 p.m. PST",3103,2989,2844,-259
LDWP,"2/16/2019 11 p.m. PST",2991,2859,2748,-243
LDWP,"2/17/2019 12 a.m. PST",2826,2687,2614,-212
LDWP,"2/17/2019 1 a.m. PST",2692,2493,2538,-154
LDWP,"2/17/2019 2 a.m. PST",2585,2461,2439,-145
LDWP,"2/17/2019 3 a.m. PST",2518,2390,2343,-175
LDWP,"2/17/2019 4 a.m. PST",2469,2357,2321,-147
LDWP,"2/17/2019 5 a.m. PST",2459,2358,2259,-200
LDWP,"2/17/2019 6 a.m. PST",2492,2382,2299,-193
LDWP,"2/17/2019 7 a.m. PST",2541,2406,2404,-137
LDWP,"2/17/2019 8 a.m. PST",2601,2444,2542,-59
LDWP,"2/17/2019 9 a.m. PST",2652,2494,2582,-70
LDWP,"2/17/2019 10 a.m. PST",2628,2579,2310,-319
LDWP,"2/17/2019 11 a.m. PST",2644,2691,2101,-543
LDWP,"2/17/2019 12 p.m. PST",2761,2728,2290,-471
LDWP,"2/17/2019 1 p.m. PST",2746,2757,2206,-539
LDWP,"2/17/2019 2 p.m. PST",2746,2802,2301,-445
LDWP,"2/17/2019 3 p.m. PST",2718,2787,2308,-411
LDWP,"2/17/2019 4 p.m. PST",2746,2773,2322,-424
LDWP,"2/17/2019 5 p.m. PST",2848,2838,2474,-374
LDWP,"2/17/2019 6 p.m. PST",3042,3048,2599,-443
LDWP,"2/17/2019 7 p.m. PST",3289,3266,2886,-403
LDWP,"2/17/2019 8 p.m. PST",3320,3260,3045,-275
LDWP,"2/17/2019 9 p.m. PST",3314,3237,2969,-344
