Facility Id,Facility Name,Facility  Status,Location  Street Address,Location  City,Location  State,Location  Zip,Locatino  Zip Four,Location  Area Code,Location  Phone Number,Location  Phone Extension,Location  Rep First,Location  Rep Last,Location  County Identity,Utm East,Utm North,Application  Date,Application  Number,Application  Status,Application  Type,Permit Number,Permit Status,PO Issue Date,BCAT Number,BCAT Description,CCAT Number,CCAT  Description,Naics Code,Sic Code1,Sic Code2,Emi Amt Av30 Co,Emi Amt Av30 Nox,Emi Amt Av30 Pm10,Emi Amt Av30 Rog,Emi Amt Av30 Sox,Emi Amt Av30 Tog,Operation  Days Per Week,Operation  Hours Per Day,Operation  Weeks Per Year
29986,AUTOMOBILE CLUB OF SO CALIF,A,3333 FAIRVIEW RD,COSTA MESA,CA,92626,1698,714,8851551,     ,RICK  ,FALB    ,OR  ,415.8500061,3728.02002,12/18/2012,545786,31,96,G22480,ACTIVE      ,1/18/2013,043902,I C E (>500 HP) EM ELEC GEN DIESEL,  ,,561599,6411,    ,0.46,3.69,0.08,0.23,0,0,1,1,50
29986,AUTOMOBILE CLUB OF SO CALIF,A,3333 FAIRVIEW RD,COSTA MESA,CA,92626,1698,714,8851551,     ,RICK  ,FALB    ,OR  ,415.8500061,3728.02002,5/2/2017,593800,31,10,G48559,ACTIVE      ,10/4/2017,043901,I C E (50-500 HP) EM ELEC GEN-DIESEL,  ,,561599,6411,    ,0.04,0.44,0.02,0.02,0,0,1,1,50
29986,AUTOMOBILE CLUB OF SO CALIF,A,3333 FAIRVIEW RD,COSTA MESA,CA,92626,1698,714,8851551,     ,RICK  ,FALB    ,OR  ,415.8500061,3728.02002,1/13/2021,626533,31,10,G65035,ACTIVE      ,4/25/2021,043902,I C E (>500 HP) EM ELEC GEN DIESEL,  ,,561599,6411,    ,0.46,2.57,0.06,0.13,0,0,1,1,50
30249,COLTON CITY POLICE DEPT,A,650 N LA CADENA DR.,COLTON,CA,92324,2853,714,8253110,     ,UNKNOWN,UNKNOWN,SB  ,0,0,9/14/2011,527357,31,96,G18240,ACTIVE      ,5/10/2012,043901,I C E (50-500 HP) EM ELEC GEN-DIESEL,  ,,922190,    ,    ,0.04,0.17,0.01,0,0,0,1,1,50
30368,"ANZA ELECTRIC COOPERATIVE, INC",A,58470 HIGHWAY 371,ANZA,CA,92539,    ,951,7634333,     ,DAVID J.,COYLE,RV  ,536.5189819,3713.197021,6/28/2019,614199,31,10,G58207,ACTIVE      ,7/23/2019,043901,I C E (50-500 HP) EM ELEC GEN-DIESEL,  ,,221122,    ,    ,0.07,0.24,0.01,0.01,0,0,1,1,50
30383,"LA VERNE CITY, POLICE/FIRE DEPT",A,2061 3RD ST,LA VERNE,CA,91750,4497,714,5968739,     ,DAVID,JOHNSON,LA  ,428.8699951,3773.405029,11/19/2014,570573,31,96,G34038,ACTIVE      ,1/8/2015,043902,I C E (>500 HP) EM ELEC GEN DIESEL,  ,,922120,9221,    ,0.11,1.11,0.02,0.03,0,0,1,1,50
30439,LAS VIRGENES MUNICIPAL WATER DISTRICT,A,4232 LAS VIRGENES RD,CALABASAS,CA,91302,1994,818,2512100,2230 ,JOHN,ZHAO,LA  ,343.25,3778.860107,10/10/1988,176499,31,19,D18100,ACTIVE      ,5/2/1990,041901,I C E (50-500 HP) N-EM PORT N-RENT DIESE,  ,,221310,4941,    ,0,0,0,0,0,0,1,24,52
30439,LAS VIRGENES MUNICIPAL WATER DISTRICT,A,4232 LAS VIRGENES RD,CALABASAS,CA,91302,1994,818,2512100,2230 ,JOHN,ZHAO,LA  ,343.25,3778.860107,10/10/1988,176503,31,19,D18103,ACTIVE      ,5/2/1990,041901,I C E (50-500 HP) N-EM PORT N-RENT DIESE,  ,,221310,4941,    ,0,0,0,0,0,0,1,24,52
30439,LAS VIRGENES MUNICIPAL WATER DISTRICT,A,4232 LAS VIRGENES RD,CALABASAS,CA,91302,1994,818,2512100,2230 ,JOHN,ZHAO,LA  ,343.25,3778.860107,10/10/1988,176504,31,19,D17017,ACTIVE      ,1/30/1990,041401,I C E (50-500 HP) N-EM PORT N-RENT GASOL,  ,,221310,4941,    ,0,0,0,0,0,0,5,2,52
30439,LAS VIRGENES MUNICIPAL WATER DISTRICT,A,4232 LAS VIRGENES RD,CALABASAS,CA,91302,1994,818,2512100,2230 ,JOHN,ZHAO,LA  ,343.25,3778.860107,2/8/1995,300658,31,96,D88513,ACTIVE      ,2/16/1995,043901,I C E (50-500 HP) EM ELEC GEN-DIESEL,  ,,221310,4941,    ,2,3,0,0,0,0,1,1,29
30626,F-D-S MANUFACTURING CO INC,A,2200 S RESERVOIR ST,POMONA,CA,91766,6408,909,5911733,     ,RICHARD,BEATTY,LA  ,432.4490051,3765.720947,12/26/2000,378810,31,96,F36557,ACTIVE      ,1/23/2001,043902,I C E (>500 HP) EM ELEC GEN DIESEL,  ,,322299,2679,    ,5,4,0,1,0,0,1,1,29
30664,"BANNING, CITY OF",A,176 E LINCOLN ST,BANNING,CA,92220,    ,951,9223130,     ,BRIAN,GUILLOT,RV  ,511.5639954,3753.294922,6/25/2019,614056,31,96,G58957,ACTIVE      ,9/18/2019,043001,I C E (50-500 HP) EM ELEC GEN-NAT GAS,  ,,921110,9199,    ,0.03,0,0,0,0,0,1,1,50
30776,"LA CO., SHERIFF'S DEPT.",A,780 E ALTADENA DR,ALTADENA,CA,91001,    ,626,3003044,     ,RICHARD,SECORD,LA  ,395.6099854,3783.620117,3/20/1989,187199,31,19,D41601,ACTIVE      ,1/19/1993,043401,I C E (50-500 HP) EM ELEC GEN-GASOLINE,  ,,922120,9199,    ,0,0,0,0,0,0,1,1,12
30894,SO CAL GAS CO,A,251 E 1ST ST,BEAUMONT,CA,92223,2903,619,2436514,     ,ROBERT,CRUZ,RV  ,501.9259949,3753.275879,11/25/2015,579995,31,10,G38542,ACTIVE      ,12/22/2015,043501,I C E (50-500 HP) EM ELEC GEN-NG & LPG,  ,,221210,4922,    ,0.03,0.01,0,0,0,0,1,1,50
30895,SEMPRA ENERGY (THE GAS CO),A,1120 E VALLEY BLVD,ALHAMBRA,CA,91801,5233,213,2445822,     ,AILEEN,SANTOS,LA  ,397.3999939,3771.300049,9/29/2020,624675,31,96,G63314,ACTIVE      ,10/31/2020,043501,I C E (50-500 HP) EM ELEC GEN-NG & LPG,  ,,221210,    ,    ,0,0.02,0,0.02,0,0,1,1,50
