Facility Id,Facility Name,Facility  Status,Location  Street Address,Location  City,Location  State,Location  Zip,Locatino  Zip Four,Location  Area Code,Location  Phone Number,Location  Phone Extension,Location  Rep First,Location  Rep Last,Location  County Identity,Utm East,Utm North,Application  Date,Application  Number,Application  Status,Application  Type,Permit Number,Permit Status,PO Issue Date,BCAT Number,BCAT Description,CCAT Number,CCAT  Description,Naics Code,Sic Code1,Sic Code2,Emi Amt Av30 Co,Emi Amt Av30 Nox,Emi Amt Av30 Pm10,Emi Amt Av30 Rog,Emi Amt Av30 Sox,Emi Amt Av30 Tog
100781,"ORANGE, COUNTY OF - TRANSPORTATION AUTHO",A,550 S MAIN ST.,ORANGE,CA,92868,    ,714,5605527,     ,BARRY,REYNOLDS,OR  ,419.6730042,3737.831055,6/27/00,371491,31,96,F47638,ACTIVE      ,12/22/01,43901,I C E (50-500 HP) EM ELEC GEN-DIESEL,  ,,485113,    ,    ,1,0,0,0,0,0
100793,"US GOVT GEN SERVICES ADMIN, FBI GARAGE",A,1260 S SEPULVEDA BLVD,LOS ANGELES,CA,90025,    ,310,5757581,     ,JOHN A.,WALSH,LA  ,366.1380005,3768.967041,3/3/04,426473,31,30,F70478,ACTIVE      ,9/1/04,43901,I C E (50-500 HP) EM ELEC GEN-DIESEL,  ,,922120,9100,    ,0,0,0,0,0,0
100889,"ORANGE, COUNTY OF - GSA FACILITIES OPS",A,1944 VALENCIA AVE,BREA,CA,92823,    ,714,7047943,     ,MAURINE,RAKHSHANI,OR  ,422.9200134,3755.429932,10/5/12,543261,31,50,G30726,ACTIVE      ,4/12/14,43901,I C E (50-500 HP) EM ELEC GEN-DIESEL,  ,,562920,4830,    ,0.05,0.47,0.01,0.02,0,0
100940,"NORDSTROM INC, SANTA ANITA",A,400 S BALDWIN AVE,ARCADIA,CA,91007,1905,626,8216363,     ,GREG,RAMIREZ,LA  ,402.7999878,3777.540039,3/22/94,291003,31,10,D82087,ACTIVE      ,4/15/94,43901,I C E (50-500 HP) EM ELEC GEN-DIESEL,  ,,448140,5600,    ,0,0,0,0,0,0
100941,CORONA-NORCO UNI SCH DIST - CITRUS HILLS,A,3211 S MAIN ST GATE DR/FOOTHILL,CORONA,CA,92882,    ,951,7365045,     ,TED,ROZZI,RV  ,447.019989,3744.469971,3/21/94,290934,31,10,D81904,ACTIVE      ,4/7/94,43501,I C E (50-500 HP) EM ELEC GEN-NG & LPG,  ,,611110,8211,    ,2,0,0,0,0,0
100957,"FLYING FOOD GROUP PACIFIC, INC.",A,6751 W IMPERIAL HWY,LOS ANGELES,CA,90045,    ,310,3380358,     ,AL,KEIMI,LA  ,368.9979858,3755.270996,3/21/94,291005,31,30,D81852,ACTIVE      ,4/4/94,43901,I C E (50-500 HP) EM ELEC GEN-DIESEL,  ,,722511,8980,    ,0,1,0,0,0,0
100968,CAL STATE UNIVERSITY LONG BEACH FOUNDATI,A,6300 STATE UNIVERSITY DR,LONG BEACH,CA,90815,    ,310,9857640,     ,SANDRA,VANDERHEYDE,LA  ,397.2430115,3738.291016,3/23/94,291017,31,10,D82290,ACTIVE      ,4/26/94,43901,I C E (50-500 HP) EM ELEC GEN-DIESEL,  ,,611310,    ,    ,0,0,0,0,0,0
101091,RUBIDOUX COMMUNITY SERVICES DISTRICT,A,4284 EXMOOR CT,RUBIDOUX,CA,92509,    ,951,6846900,     ,JOSEPH,ZOBA,RV  ,462.4100037,3760.399902,7/8/08,485159,31,30,G1490 ,ACTIVE      ,2/6/09,43901,I C E (50-500 HP) EM ELEC GEN-DIESEL,  ,,813910,4952,    ,0.02,0.32,0.01,0.01,0,0
101125,SLS & N INC,A,VARIOUS LOCATIONS IN SCAQMD,DIAMOND BAR,CA,91765,    ,818,5747570,     ,JOHN,SCHILLER,LA  ,0,0,5/7/19,612434,31,10,G57681,ACTIVE      ,6/14/19,41902,I C E (>500 HP) N-EM PORT N-RENT DIESEL,  ,,562212,1420,    ,0.09,1.65,0.09,0.35,0,0
101128,MIRABELLA HOMEOWNERS' ASSOCIATION INC,A,10430 WILSHIRE BLVD,LOS ANGELES,CA,90024,    ,310,4757885,     ,STACY ,GEROWITZ,LA  ,368.0239868,3770.219971,2/15/01,381462,31,20,F37614,ACTIVE      ,2/27/01,44901,I C E (50-500 HP) EM FIRE FGHT-DIESEL,  ,,531311,    ,    ,0,2,0,0,0,0
101128,MIRABELLA HOMEOWNERS' ASSOCIATION INC,A,10430 WILSHIRE BLVD,LOS ANGELES,CA,90024,    ,310,4757885,     ,STACY ,GEROWITZ,LA  ,368.0239868,3770.219971,10/21/14,569344,31,10,G34510,ACTIVE      ,2/11/15,43902,I C E (>500 HP) EM ELEC GEN DIESEL,  ,,531311,    ,    ,0,0.5,0,0,0,0
101128,MIRABELLA HOMEOWNERS' ASSOCIATION INC,A,10430 WILSHIRE BLVD,LOS ANGELES,CA,90024,    ,310,4757885,     ,STACY ,GEROWITZ,LA  ,368.0239868,3770.219971,2/6/18,600688,31,10,G52329,ACTIVE      ,5/19/18,44901,I C E (50-500 HP) EM FIRE FGHT-DIESEL,  ,,531311,    ,    ,0.06,0.13,0,0,0,0
101252,"TARGET STORES, T-912",A,3944 GRAND AVE,CHINO,CA,91710,    ,909,4655804,     ,SAROTH ,HONG,SB  ,434.4100037,3761.070068,12/23/11,530856,31,96,G16468,ACTIVE      ,1/13/12,43001,I C E (50-500 HP) EM ELEC GEN-NAT GAS,  ,,452112,5300,    ,0.09,0.01,0,0.02,0,0
101255,SHAMMAS REALTY,A,714 W OLYMPIC BLVD STE 710,LOS ANGELES,CA,90015,    ,310,3253372,     ,BOB,LAZANO,LA  ,383.4200134,3767.610107,7/9/03,419198,31,30,F88896,ACTIVE      ,4/13/07,43901,I C E (50-500 HP) EM ELEC GEN-DIESEL,  ,,531120,    ,    ,0,0,0,0,0,0
101291,"TARGET CORP, TARGET RNCHO MGRITA T-914",A,30602 SANTA MARGARITA PKY,RANCHO SANTA MARGARITA,CA,92688,    ,949,4591543,     ,GEORGE,BONILLA,OR  ,444.6600037,3722.590088,2/13/02,397609,31,10,F49715,ACTIVE      ,3/7/02,43501,I C E (50-500 HP) EM ELEC GEN-NG & LPG,  ,,452112,5511,    ,0,0,0,0,0,0
101323,"LA CITY, DWP",A,5848 MIRAMONTE BLVD,LOS ANGELES,CA,90001,    ,367,3674707,     ,RICK,CAMPOS,LA  ,384.980011,3761.360107,11/29/05,451253,31,63,F82709,ACTIVE      ,6/20/06,43901,I C E (50-500 HP) EM ELEC GEN-DIESEL,  ,,221310,4911,    ,0,1,0,0,0,0
101438,"ONTARIO CITY, FIRE DPT, FIRE STATION SIX",A,2931 E PHILADELPHIA,ONTARIO,CA,91764,    ,909,9864579,     ,BATTALION,CHIEF,SB  ,445.8580017,3765.856934,5/5/94,292352,31,96,D82802,ACTIVE      ,5/10/94,43901,I C E (50-500 HP) EM ELEC GEN-DIESEL,  ,,922160,9224,    ,0,1,0,0,0,0
101493,LAS VIRGENES MUNICIPAL WATER DISTRICT,A,2860 THREE SPRINGS DR,WESTLAKE VILLAGE,CA,91361,5511,818,8804110,     ,DAVE,PEDERSEN,LA  ,330.5559998,3778.365967,3/16/16,583518,31,96,G39861,ACTIVE      ,4/6/16,43902,I C E (>500 HP) EM ELEC GEN DIESEL,  ,,221310,4941,    ,0.56,2.63,0.06,0.42,0,0
101520,"RADFORD STUDIO CENTER, INC.",A,4024 RADFORD AVE,STUDIO CITY,CA,91604,2190,323,5757491,     ,DOUGLAS W. ,EDWARDS,LA  ,371.5880127,3778.833008,1/25/96,311163,31,30,D96559,ACTIVE      ,2/26/96,43901,I C E (50-500 HP) EM ELEC GEN-DIESEL,  ,,521110,7800,    ,0,1,0,0,0,0
101520,"RADFORD STUDIO CENTER, INC.",A,4024 RADFORD AVE,STUDIO CITY,CA,91604,2190,323,5757491,     ,DOUGLAS W. ,EDWARDS,LA  ,371.5880127,3778.833008,2/22/96,312353,31,30,F2870 ,ACTIVE      ,9/26/96,43901,I C E (50-500 HP) EM ELEC GEN-DIESEL,  ,,521110,7800,    ,0,1,0,0,0,0
101520,"RADFORD STUDIO CENTER, INC.",A,4024 RADFORD AVE,STUDIO CITY,CA,91604,2190,323,5757491,     ,DOUGLAS W. ,EDWARDS,LA  ,371.5880127,3778.833008,7/6/00,371722,31,96,F33530,ACTIVE      ,9/5/00,43901,I C E (50-500 HP) EM ELEC GEN-DIESEL,  ,,521110,7800,    ,0,1,0,0,0,0
101520,"RADFORD STUDIO CENTER, INC.",A,4024 RADFORD AVE,STUDIO CITY,CA,91604,2190,323,5757491,     ,DOUGLAS W. ,EDWARDS,LA  ,371.5880127,3778.833008,10/9/02,407432,31,30,F55986,ACTIVE      ,10/31/02,43901,I C E (50-500 HP) EM ELEC GEN-DIESEL,  ,,521110,7800,    ,0,0,0,0,0,0
101520,"RADFORD STUDIO CENTER, INC.",A,4024 RADFORD AVE,STUDIO CITY,CA,91604,2190,323,5757491,     ,DOUGLAS W. ,EDWARDS,LA  ,371.5880127,3778.833008,11/1/05,450092,31,10,F79407,ACTIVE      ,11/22/05,43902,I C E (>500 HP) EM ELEC GEN DIESEL,  ,,521110,7800,    ,1,4,0,0,0,0
101520,"RADFORD STUDIO CENTER, INC.",A,4024 RADFORD AVE,STUDIO CITY,CA,91604,2190,323,5757491,     ,DOUGLAS W. ,EDWARDS,LA  ,371.5880127,3778.833008,11/1/05,450093,31,10,F79476,ACTIVE      ,11/29/05,43902,I C E (>500 HP) EM ELEC GEN DIESEL,  ,,521110,7800,    ,1,4,0,0,0,0
101520,"RADFORD STUDIO CENTER, INC.",A,4024 RADFORD AVE,STUDIO CITY,CA,91604,2190,323,5757491,     ,DOUGLAS W. ,EDWARDS,LA  ,371.5880127,3778.833008,3/23/16,583770,31,96,G39914,ACTIVE      ,4/12/16,43901,I C E (50-500 HP) EM ELEC GEN-DIESEL,  ,,521110,7800,    ,0.06,0.35,0,0,0,0
101520,"RADFORD STUDIO CENTER, INC.",A,4024 RADFORD AVE,STUDIO CITY,CA,91604,2190,323,5757491,     ,DOUGLAS W. ,EDWARDS,LA  ,371.5880127,3778.833008,7/28/16,587808,31,96,G42268,ACTIVE      ,8/11/16,43901,I C E (50-500 HP) EM ELEC GEN-DIESEL,  ,,521110,7800,    ,0.06,0.35,0,0,0,0
