resource,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,lcoe_type
FCZ7.Commercial.Retail.Cooling,36.66666667,35.59870551,34.56185001,32.02995808,31.68937138,31.34145249,31.54524034,30.08438592,28.68186884,28.10194686,27.28344355,26.48878015,25.95105557,25.42218335,25.34284922,25.46052392,no_emissions
FCZ7.Commercial.Retail.Heating,93,90.29126214,87.66141955,84.4980799,81.44464605,78.49739939,76.76939019,74.80441903,72.88878598,71.02128387,69.20073409,66.94437164,64.76074228,62.19355572,59.28022993,56.48385138,no_emissions
FCZ7.Commercial.Retail.IndoorLightingEff,32.66666667,31.71521036,30.79146637,30.19967476,29.61623493,29.32869867,29.03278756,28.4582029,27.89245961,19.41589055,15.37794091,14.20761844,15.19656407,16.79679972,17.85018076,18.40004249,no_emissions
FCZ7.Commercial.Retail.OfficeEquipment,8,7.766990291,7.540767273,7.321133275,7.107896383,6.900870275,6.699874053,6.504732091,6.052137464,5.109444882,2.232281745,2.16726383,2.104139641,2.04285402,1.983353417,1.925585842,no_emissions
FCZ7.Commercial.Retail.OutdoorLighting,37.33333333,36.24595469,35.19024727,34.16528862,33.17018312,32.20406128,31.26607892,30.35541642,29.73441449,29.63478032,36.46060183,35.39864255,34.36761413,33.36661566,32.39477248,31.45123542,no_emissions
FCZ7.Commercial.Retail.Refrigeration,4,3.883495145,3.770383636,3.965613857,4.14627289,4.600580185,5.02490554,5.691640579,6.841546698,14.05097343,13.88975308,13.48519716,13.09242443,12.71109168,12.34086571,11.98142302,no_emissions
FCZ7.Commercial.Retail.Ventilation,4,3.883495145,3.770383636,3.660566637,3.553948191,3.450435137,3.349937027,3.252366045,3.157636937,3.065666929,2.976375659,2.889685106,2.805519521,2.72380536,2.644471223,2.567447789,no_emissions
FCZ7.Commercial.Retail.WaterHeating,29.33333333,28.4789644,27.64948,26.84415534,26.06228674,25.30319101,24.56620486,23.85068433,23.15600421,22.48155748,21.82675484,21.19102411,20.57380982,19.97457264,19.39278897,18.82795046,no_emissions
FCZ7.Commercial.School.Cooking,17.33333334,16.82847897,16.33832909,15.25236099,14.21579276,13.51420429,12.56226385,11.65431166,10.78859287,9.963417521,9.425189589,8.909862411,8.182765269,7.490464739,7.272295864,6.846527439,no_emissions
FCZ7.Commercial.School.Cooling,36.66666666,35.5987055,34.56185,32.02995807,31.68937137,31.3414525,31.54524033,30.08438592,28.68186884,28.10194685,27.28344354,26.48878014,25.95105556,25.42218336,25.34284922,25.46052391,no_emissions
FCZ7.Commercial.School.Heating,93.00000001,90.29126215,87.66141956,84.49807987,81.44464605,78.49739938,76.76939019,74.80441904,72.88878596,71.02128385,69.20073409,66.94437162,64.76074226,62.19355572,59.28022993,56.48385137,no_emissions
FCZ7.Commercial.School.IndoorLightingEff,32.66666667,31.71521036,30.79146637,30.19967476,29.61623493,29.32869867,29.03278756,28.4582029,27.89245961,19.41589055,15.3779409,14.20761844,15.19656407,16.79679972,17.85018076,18.40004249,no_emissions
FCZ7.Commercial.School.OfficeEquipment,8,7.766990291,7.540767273,7.321133275,7.107896383,6.900870275,6.699874054,6.504732091,6.052137463,5.109444882,2.232281744,2.167263829,2.10413964,2.04285402,1.983353417,1.925585842,no_emissions
FCZ7.Commercial.School.OutdoorLighting,37.33333334,36.2459547,35.19024728,34.16528862,33.17018312,32.20406129,31.26607892,30.35541643,29.7344145,29.63478031,36.46060183,35.39864255,34.36761413,33.36661566,32.39477248,31.45123542,no_emissions
FCZ7.Commercial.School.Refrigeration,4,3.883495146,3.770383637,3.965613857,4.14627289,4.600580183,5.024905538,5.691640578,6.841546696,14.05097343,13.88975308,13.48519716,13.09242443,12.71109168,12.34086571,11.98142302,no_emissions
FCZ7.Commercial.School.Ventilation,4.000000001,3.883495146,3.770383637,3.660566638,3.553948192,3.450435138,3.349937027,3.252366046,3.157636938,3.06566693,2.97637566,2.889685107,2.805519521,2.723805361,2.644471224,2.56744779,no_emissions
FCZ7.Commercial.School.WaterHeating,29.33333333,28.4789644,27.64948,26.84415534,26.06228674,25.30319101,24.56620486,23.85068433,23.15600421,22.48155748,21.82675484,21.19102411,20.57380982,19.97457264,19.39278897,18.82795046,no_emissions
FCZ7.Commercial.Warehouse.Cooking,17.33333333,16.82847897,16.33832909,15.25236099,14.21579277,13.51420429,12.56226385,11.65431167,10.78859287,9.963417521,9.425189587,8.909862408,8.182765268,7.490464741,7.272295865,6.846527439,no_emissions
FCZ7.Commercial.Warehouse.Cooling,36.66666667,35.5987055,34.56185,32.02995808,31.68937138,31.3414525,31.54524033,30.08438592,28.68186885,28.10194685,27.28344355,26.48878014,25.95105557,25.42218336,25.34284922,25.46052391,no_emissions
FCZ7.Commercial.Warehouse.Heating,93.00000001,90.29126215,87.66141956,84.49807989,81.44464607,78.49739939,76.76939021,74.80441906,72.88878598,71.02128387,69.20073409,66.94437164,64.76074228,62.19355573,59.28022993,56.48385136,no_emissions
FCZ7.Commercial.Warehouse.IndoorLightingEff,32.66666667,31.71521036,30.79146637,30.19967476,29.61623493,29.32869867,29.03278756,28.4582029,27.89245961,19.41589055,15.37794091,14.20761844,15.19656407,16.79679972,17.85018076,18.40004249,no_emissions
