,resource,cost_type,cost_decline_assumption,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
13,gas_cc,fixed_per_kw_year,moderate,12.86345776,12.86345776,12.86345776,12.86345776,12.86345776,12.86345776,12.86345776,12.86345776,12.86345776,12.86345776,12.86345776,12.86345776,12.86345776,12.86345776,12.86345776,12.86345776,12.86345776,12.86345776,12.86345776,12.86345776,12.86345776,12.86345776,12.86345776,12.86345776,12.86345776,12.86345776,12.86345776,12.86345776,12.86345776,12.86345776,12.86345776,12.86345776,12.86345776
14,gas_cc,fixed_per_kw_year,conservative,12.86345776,12.86345776,12.86345776,12.86345776,12.86345776,12.86345776,12.86345776,12.86345776,12.86345776,12.86345776,12.86345776,12.86345776,12.86345776,12.86345776,12.86345776,12.86345776,12.86345776,12.86345776,12.86345776,12.86345776,12.86345776,12.86345776,12.86345776,12.86345776,12.86345776,12.86345776,12.86345776,12.86345776,12.86345776,12.86345776,12.86345776,12.86345776,12.86345776
15,gas_cc_ccs,fixed_per_kw_year,advanced,26.99410609,26.99410609,26.99410609,26.99410609,26.99410609,26.99410609,26.99410609,26.99410609,26.99410609,26.99410609,26.99410609,26.99410609,26.99410609,26.99410609,26.99410609,26.99410609,26.99410609,26.99410609,26.99410609,26.99410609,26.99410609,26.99410609,26.99410609,26.99410609,26.99410609,26.99410609,26.99410609,26.99410609,26.99410609,26.99410609,26.99410609,26.99410609,26.99410609
16,gas_cc_ccs,fixed_per_kw_year,moderate,26.99410609,26.99410609,26.99410609,26.99410609,26.99410609,26.99410609,26.99410609,26.99410609,26.99410609,26.99410609,26.99410609,26.99410609,26.99410609,26.99410609,26.99410609,26.99410609,26.99410609,26.99410609,26.99410609,26.99410609,26.99410609,26.99410609,26.99410609,26.99410609,26.99410609,26.99410609,26.99410609,26.99410609,26.99410609,26.99410609,26.99410609,26.99410609,26.99410609
17,gas_cc_ccs,fixed_per_kw_year,conservative,26.99410609,26.99410609,26.99410609,26.99410609,26.99410609,26.99410609,26.99410609,26.99410609,26.99410609,26.99410609,26.99410609,26.99410609,26.99410609,26.99410609,26.99410609,26.99410609,26.99410609,26.99410609,26.99410609,26.99410609,26.99410609,26.99410609,26.99410609,26.99410609,26.99410609,26.99410609,26.99410609,26.99410609,26.99410609,26.99410609,26.99410609,26.99410609,26.99410609
18,gas_ct,variable_per_mwh,advanced,4.499017682,4.499017682,4.499017682,4.499017682,4.499017682,4.499017682,4.499017682,4.499017682,4.499017682,4.499017682,4.499017682,4.499017682,4.499017682,4.499017682,4.499017682,4.499017682,4.499017682,4.499017682,4.499017682,4.499017682,4.499017682,4.499017682,4.499017682,4.499017682,4.499017682,4.499017682,4.499017682,4.499017682,4.499017682,4.499017682,4.499017682,4.499017682,4.499017682
19,gas_ct,variable_per_mwh,moderate,4.499017682,4.499017682,4.499017682,4.499017682,4.499017682,4.499017682,4.499017682,4.499017682,4.499017682,4.499017682,4.499017682,4.499017682,4.499017682,4.499017682,4.499017682,4.499017682,4.499017682,4.499017682,4.499017682,4.499017682,4.499017682,4.499017682,4.499017682,4.499017682,4.499017682,4.499017682,4.499017682,4.499017682,4.499017682,4.499017682,4.499017682,4.499017682,4.499017682
20,gas_ct,variable_per_mwh,conservative,4.499017682,4.499017682,4.499017682,4.499017682,4.499017682,4.499017682,4.499017682,4.499017682,4.499017682,4.499017682,4.499017682,4.499017682,4.499017682,4.499017682,4.499017682,4.499017682,4.499017682,4.499017682,4.499017682,4.499017682,4.499017682,4.499017682,4.499017682,4.499017682,4.499017682,4.499017682,4.499017682,4.499017682,4.499017682,4.499017682,4.499017682,4.499017682,4.499017682
21,gas_cc,variable_per_mwh,advanced,2.161100196,2.161100196,2.161100196,2.161100196,2.161100196,2.161100196,2.161100196,2.161100196,2.161100196,2.161100196,2.161100196,2.161100196,2.161100196,2.161100196,2.161100196,2.161100196,2.161100196,2.161100196,2.161100196,2.161100196,2.161100196,2.161100196,2.161100196,2.161100196,2.161100196,2.161100196,2.161100196,2.161100196,2.161100196,2.161100196,2.161100196,2.161100196,2.161100196
22,gas_cc,variable_per_mwh,moderate,2.161100196,2.161100196,2.161100196,2.161100196,2.161100196,2.161100196,2.161100196,2.161100196,2.161100196,2.161100196,2.161100196,2.161100196,2.161100196,2.161100196,2.161100196,2.161100196,2.161100196,2.161100196,2.161100196,2.161100196,2.161100196,2.161100196,2.161100196,2.161100196,2.161100196,2.161100196,2.161100196,2.161100196,2.161100196,2.161100196,2.161100196,2.161100196,2.161100196
