,resource,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,lceo_type
17,FCZ7.Commercial.College.WaterHeating,105.41249797017086,102.54995335383502,99.56306150857769,96.6631665131822,93.84773447881767,91.11430531924047,88.46049060120434,85.61294095140136,83.1193601469916,80.69840790970058,no_cobenefits
18,FCZ7.Commercial.Food.Cooking,39.65769633391651,37.82166645791246,36.499691923373994,34.30749845520608,32.212041568153765,29.892065647134352,23.519259008756535,22.021140533589097,20.85347527087312,19.4796757613837,no_cobenefits
19,FCZ7.Commercial.Food.Cooling,102.62869886934436,101.72808656234089,98.99892587906426,93.90206803199855,91.82817413253868,90.79840956033847,90.16617472643705,87.46421419022859,86.0852856068104,85.66899596383311,no_cobenefits
20,FCZ7.Commercial.Food.DaylightingEff,68.50466960712386,68.27236878323433,67.1396691139606,66.11235893250421,51.91300119706528,51.65517722030662,50.70898033963744,49.68760883386334,48.50353333644035,38.634640543148784,no_cobenefits
21,FCZ7.Commercial.Food.EconomizerEff,102.6286988614184,101.72808655898217,98.99892587623245,93.90206804075163,91.82817415411328,90.79840957150955,90.16617473037729,87.46421419568448,86.08528560563194,85.66899595682727,no_cobenefits
22,FCZ7.Commercial.Food.Heating,149.48385135648545,143.26045195251072,138.0794566876555,131.29385029507154,124.97647942733965,119.1002880202287,107.05133271748308,104.2043632658869,101.43242112876155,98.73355100326314,no_cobenefits
23,FCZ7.Commercial.Food.IndoorLightingEff,68.50466960410922,68.27236878065054,67.1396691133434,66.11235892712216,51.9130011974084,51.65517722596137,50.70898033976414,49.68760883328267,48.50353333547015,38.634640545962206,no_cobenefits
24,FCZ7.Commercial.Food.OfficeEquipment,28.9672602859135,28.379025919979856,28.544577565789307,27.713182102708068,26.906002041464138,26.1223320790914,20.82963310173274,20.222944758963823,19.633926950450313,18.822115375909217,no_cobenefits
25,FCZ7.Commercial.Food.OutdoorLighting,101.47236721277197,98.51686137162328,95.64743822487695,92.86159050958928,90.15688398989249,87.53095532999271,64.7941588122113,62.90695030311776,61.074709032153166,59.806778500084924,no_cobenefits
26,FCZ7.Commercial.Food.Refrigeration,59.77522473338731,59.118320785220995,58.5275514188205,65.50892175533318,64.44125091269404,63.13939379533374,51.77522473473345,48.9136343695101,37.440180883889845,31.550656441905815,no_cobenefits
