,date,hour,Total_Generation_(MWh),ladwp_so2_lb,ladwp_nox_lb,ladwp_co2_short_tons,ladwp_so2_avg_lbs_per_mwh,ladwp_nox_avg_lbs_per_mwh,ladwp_co2_avg_short_tons_per_mwh
7727,2019-11-18,23,2334.0,457.18327398926385,1822.0390356325356,1135.9092167510607,0.1958797232173367,0.7806508293198524,0.48667918455486747
7728,2019-11-19,0,2161.0,375.5970282369146,1616.9698751515152,1034.3257355371902,0.1738070468472534,0.7482507520367956,0.4786329178793106
7729,2019-11-19,1,2054.0,319.63150946531505,1512.5156597018483,975.9703613595707,0.1556141720863267,0.7363756863202767,0.475155969503199
7730,2019-11-19,2,2058.0,291.81059229864786,1456.5394072604352,1009.2171516754851,0.14179329071848779,0.7077450958505516,0.4903873428938217
7731,2019-11-19,3,2086.0,336.96565478129713,1500.125593363499,1026.886226244344,0.1615367472585317,0.7191397858885422,0.4922752762436932
7732,2019-11-19,4,2074.0,319.7205862759065,1419.715802432075,980.4333901495879,0.15415650254383148,0.6845302808254942,0.47272583903065957
7733,2019-11-19,5,2248.0,373.1199840200533,1797.3478969746027,1154.6202351732902,0.16597864057831554,0.7995319826399478,0.5136211010557341
7734,2019-11-19,6,2641.0,677.7204092549448,2483.8580555857834,1476.617197416712,0.2566150735535573,0.9404990744361164,0.5591129107976949
7735,2019-11-19,7,2652.0,709.2253897969651,2327.0952710750294,1316.0126811545545,0.26743038830956456,0.8774869046285932,0.4962340426676299
7736,2019-11-19,8,2578.0,404.8200076897674,1883.132059749021,1127.2407604849743,0.15702870740487487,0.7304623971097831,0.4372539800174454
7737,2019-11-19,9,2740.0,287.32771207393307,1458.3051074333532,944.2877840879542,0.10486412849413616,0.5322281413990341,0.3446305781342898
7738,2019-11-19,10,2852.0,245.88827878820734,1539.4874538921867,972.395526402178,0.0862160865316295,0.5397922348850585,0.3409521481073555
7739,2019-11-19,11,2900.0,267.40413754112205,1544.3471620716762,992.61436606597,0.09220832329004208,0.532533504162647,0.34228081588481724
7740,2019-11-19,12,2864.0,275.89965907019143,1542.8606919130093,1042.6261414246646,0.09633367984294394,0.5387083421483971,0.36404544044157283
7741,2019-11-19,13,2992.0,282.8722371615313,1547.4050891970123,1111.9269229691877,0.09454286001388078,0.5171808453198571,0.3716333298693809
7742,2019-11-19,14,3119.0,350.8954259846153,1785.1670243024303,1284.6805853459296,0.1125025411941697,0.5723523643162649,0.4118886134485186
7743,2019-11-19,15,3292.0,575.7748622452282,2608.257074028542,1644.6676501671523,0.17490123397485668,0.7923016628276252,0.4995952764784788
7744,2019-11-19,16,3523.0,1064.2157937771556,3574.2950048738808,2043.8196984807394,0.30207658069178417,1.0145600354453252,0.580136161930383
7745,2019-11-19,17,3678.0,1290.1585175896996,4893.1503912505395,2200.4335127379545,0.350777193471914,1.3303834668979173,0.5982690355459365
7746,2019-11-19,18,3720.0,1531.385146029541,5874.542186216069,2227.315529134291,0.41166267366385506,1.5791780070473305,0.5987407336382503
7747,2019-11-19,19,3773.0,1502.7375292071615,5671.34713313838,2217.93384232165,0.39828717975275946,1.5031399769781022,0.5878435839707528
7748,2019-11-19,20,3614.0,1254.7808126530358,4598.1140697579,1986.1083110064737,0.34720000350111674,1.2723060513995297,0.5495595769248682
7749,2019-11-19,21,3135.0,753.6488394025689,2768.185780090233,1611.9978372388211,0.2403983538764175,0.8829938692472833,0.514193887476498
7750,2019-11-19,22,2802.0,472.62981742915133,1770.7262557463764,1359.736119636399,0.16867588059569996,0.6319508407374648,0.48527341885667347
