"BA Code","Timestamp (Hour Ending)","Demand (MWh)","Demand Forecast (MWh)","Net Generation (MWh)","Total Interchange (MWh)"
LDWP,"7/9/2019 3 p.m. PDT",3741,3246,3331,-411
LDWP,"7/9/2019 4 p.m. PDT",3873,3367,3554,-318
LDWP,"7/9/2019 5 p.m. PDT",3965,3450,3451,-515
LDWP,"7/9/2019 6 p.m. PDT",3979,3443,3644,-335
LDWP,"7/9/2019 7 p.m. PDT",3861,3402,3701,-160
LDWP,"7/9/2019 8 p.m. PDT",3754,3323,3452,-302
LDWP,"7/9/2019 9 p.m. PDT",3685,3272,3409,-277
LDWP,"7/9/2019 10 p.m. PDT",3481,3137,3194,-287
LDWP,"7/9/2019 11 p.m. PDT",3177,2878,2681,-497
LDWP,"7/10/2019 12 a.m. PDT",2899,2615,2546,-353
LDWP,"7/10/2019 1 a.m. PDT",2675,2284,2266,-409
LDWP,"7/10/2019 2 a.m. PDT",2500,2167,2167,-334
LDWP,"7/10/2019 3 a.m. PDT",2387,2107,2063,-324
LDWP,"7/10/2019 4 a.m. PDT",2318,2100,1971,-347
LDWP,"7/10/2019 5 a.m. PDT",2326,2197,1853,-474
LDWP,"7/10/2019 6 a.m. PDT",2437,2333,1896,-541
LDWP,"7/10/2019 7 a.m. PDT",2600,2549,2007,-593
LDWP,"7/10/2019 8 a.m. PDT",2809,2755,2256,-552
LDWP,"7/10/2019 9 a.m. PDT",3108,2945,2544,-564
LDWP,"7/10/2019 10 a.m. PDT",3451,3127,2740,-712
LDWP,"7/10/2019 11 a.m. PDT",3629,3298,2914,-715
LDWP,"7/10/2019 12 p.m. PDT",3777,3479,2990,-786
LDWP,"7/10/2019 1 p.m. PDT",3707,3613,3149,-558
LDWP,"7/10/2019 2 p.m. PDT",3873,3764,3266,-607
LDWP,"7/10/2019 3 p.m. PDT",4057,3920,3392,-664
LDWP,"7/10/2019 4 p.m. PDT",4219,3979,3666,-553
